time,open,high,low,close
1723788000,5.27,5.3,5.05,5.06
1724047200,5.08,5.16,4.94,5.11
1724133600,5.11,5.2,5.03,5.09
1724220000,5.1,5.17,5.03,5.03
1724306400,5.06,5.08,4.96,4.96
1724392800,4.97,4.99,4.72,4.72
1724652000,4.82,4.89,4.56,4.56
1724738400,4.55,4.67,4.53,4.63
1724824800,4.65,4.69,4.57,4.64
1724911200,4.66,5.08,4.65,4.92
1725256800,4.92,5.03,4.91,4.98
1725343200,5,5.05,4.91,4.93
1725429600,4.88,4.96,4.75,4.85
1725516000,4.88,4.93,4.78,4.82
1725602400,4.82,4.82,4.69,4.69
1725861600,4.7,4.72,4.55,4.55
1725948000,4.57,4.58,4.37,4.39
1726034400,4.39,4.46,4.19,4.19
1726120800,4.23,4.24,4.02,4.14
1726207200,4.19,4.41,4.17,4.37
1726466400,4.39,4.43,4.25,4.25
1726552800,4.27,4.37,4.26,4.32
1726639200,4.3,4.31,4.17,4.2
1726725600,4.24,4.32,4.23,4.31
1726812000,4.31,4.55,4.27,4.43
1727071200,4.46,4.54,4.35,4.44
1727157600,4.43,4.58,4.43,4.46
1727244000,4.46,4.5,4.33,4.33
1727330400,4.35,4.44,4.2,4.23
1727416800,4.24,4.31,4.22,4.28
1727676000,4.28,4.36,4.22,4.3
1727762400,4.31,4.36,4.03,4.14
1727848800,4.11,4.17,4.02,4.02
1727935200,4.04,4.18,4.03,4.09
1728021600,4.11,4.16,4.03,4.15
1728280800,4.18,4.18,4.07,4.12
1728367200,4.11,4.2,4.09,4.14
1728453600,4.14,4.15,4.03,4.11
1728540000,4.13,4.13,4,4.02
1728626400,4.03,4.07,3.91,3.93
1728885600,3.95,3.96,3.79,3.8
1728972000,3.8,3.88,3.77,3.87
1729058400,3.86,3.9,3.77,3.89
1729144800,3.88,3.98,3.88,3.97
1729231200,3.99,4.08,3.93,3.95
1729490400,3.96,4.01,3.89,3.9
1729576800,3.92,4.01,3.87,3.94
1729663200,3.94,3.96,3.8,3.82
1729749600,3.85,3.94,3.85,3.91
1729836000,3.9,3.91,3.85,3.91
1730095200,3.93,3.96,3.91,3.93
1730268000,3.94,3.98,3.93,3.96
1730354400,3.96,3.97,3.84,3.85
1730440800,3.86,3.91,3.84,3.86
1730700000,3.84,3.86,3.68,3.7
1730786400,3.72,3.75,3.65,3.69
1730872800,3.7,3.79,3.67,3.73
1730959200,3.73,3.77,3.67,3.76
1731045600,3.75,3.85,3.74,3.83
1731304800,3.88,4.11,3.88,4
1731391200,3.98,4,3.83,3.83
1731477600,3.81,3.84,3.72,3.81
1731564000,3.85,3.87,3.8,3.84
1731650400,3.84,3.96,3.84,3.86
1731909600,3.89,3.91,3.83,3.88
1731996000,3.89,3.99,3.8,3.83
1732082400,3.85,3.89,3.77,3.81
1732168800,3.83,3.92,3.82,3.91
1732255200,3.9,4.25,3.87,4.17
1732514400,4.2,4.39,4.12,4.23
1732600800,4.2,4.32,4.18,4.27
1732687200,4.3,4.37,4.26,4.31
1732773600,4.29,4.31,4.14,4.16
1732860000,4.18,4.2,4.04,4.05
1733119200,4.03,4.1,4.02,4.05
1733205600,4.07,4.27,4.06,4.24
1733292000,4.27,4.46,4.25,4.36
1733378400,4.37,4.39,4.26,4.29
1733464800,4.34,4.35,4.29,4.31
1733724000,4.34,4.47,4.33,4.46
1733810400,4.43,4.48,4.31,4.32
1733896800,4.33,4.35,4.23,4.24
1733983200,4.27,4.34,4.24,4.27
1734069600,4.25,4.33,4.23,4.32
1734328800,4.34,4.41,4.3,4.31
1734415200,4.31,4.34,4.23,4.26
1734501600,4.27,4.3,4.13,4.16
1734588000,4.14,4.2,4.11,4.12
1734674400,4.13,4.14,4.04,4.04
1734933600,4.06,4.12,4.05,4.05
1735020000,4.07,4.1,4,4.04
1735106400,4.09,4.17,4.08,4.15
1735192800,4.23,4.28,4.15,4.17
1735279200,4.18,4.24,4.16,4.18
1735538400,4.2,4.21,4.11,4.11
1735624800,4.11,4.15,4.07,4.07
1735797600,4.09,4.12,4.06,4.09
1735884000,4.1,4.33,4.1,4.27
1736143200,4.29,4.44,4.24,4.3
1736229600,4.29,4.32,4.16,4.17
1736316000,4.16,4.18,4.09,4.09
1736402400,4.11,4.14,4.08,4.11
1736488800,4.12,4.14,3.97,3.99
1736748000,3.98,4,3.85,3.87
1736834400,3.89,3.92,3.82,3.88
1736920800,3.89,3.95,3.88,3.92
1737007200,3.97,3.98,3.87,3.94
1737093600,3.95,3.96,3.89,3.91
1737352800,3.92,3.94,3.87,3.89
1737439200,3.88,3.94,3.85,3.85
1737525600,3.85,3.88,3.83,3.86
1737612000,3.88,3.94,3.86,3.87
1737698400,3.87,3.89,3.83,3.84
1737957600,3.82,3.82,3.72,3.74
1738044000,3.75,3.77,3.71,3.74
1738130400,3.75,3.77,3.67,3.68
1738216800,3.69,3.74,3.68,3.69
1738303200,3.71,3.72,3.65,3.66
