time,open,high,low,close,Volume
1735279200,9.18,9.67,9.18,9.54,13704221
1735538400,9.55,10.36,9.46,10.17,14646810
1735624800,10.58,11.18,10.08,10.09,43592141
1735797600,10.15,10.44,9.8,9.83,13685913
1735884000,9.85,9.99,9.65,9.71,10369981
1736143200,9.76,10.25,9.74,10.11,10862834
1736229600,10.2,10.48,10.08,10.21,11807506
1736316000,10.22,10.25,9.86,9.88,6539332
1736402400,9.9,10.29,9.82,10.1,7768065
1736488800,10.1,10.17,9.91,10.1,5612998
1736748000,10.1,10.28,9.75,9.77,8054537
1736834400,9.75,10.07,9.75,10,6424930
1736920800,10.08,10.08,9.8,9.87,4279385
1737007200,9.9,10.09,9.9,9.95,5881801
1737093600,9.98,10.07,9.83,9.96,6604984
1737352800,10.01,10.06,9.77,9.77,6806448
1737439200,9.79,9.83,9.53,9.6,5090133
1737525600,9.66,9.87,9.47,9.55,6338145
1737612000,9.57,9.62,9.43,9.45,4335842
1737698400,9.46,9.55,9.31,9.46,2844760
1737957600,9.46,9.46,9.01,9.13,4265485
1738044000,9.14,9.33,9.1,9.13,4330161
1738130400,9.14,9.21,8.99,9,2886068
1738216800,9.02,9.09,8.9,8.9,2966056
1738303200,8.93,8.97,8.72,8.89,3212412
